user_id,role,valid_from,valid_to
U_ALFA,R_VENDOR_MAINT,2026-01-01,2026-12-31
U_ALFA,R_PAYMENT_EXEC,2026-01-01,2026-12-31
U_BRAVO,R_PO_CREATE,2026-01-01,2026-12-31
U_BRAVO,R_PO_RELEASE,2026-01-01,2026-12-31
U_CHARLIE,R_VENDOR_BR01,2026-01-01,2026-12-31
U_CHARLIE,R_PAY_BR02,2026-01-01,2026-12-31
U_DELTA,R_GL_POST,2026-01-01,2026-12-31
U_DELTA,R_GL_APPROVE,2026-01-01,2026-12-31
U_ECHO,R_CUSTOMER_MAINT,2026-01-01,2026-12-31
U_ECHO,R_RECEIPT_POST,2026-01-01,2026-12-31
U_FOXTROT,R_VENDOR_DISPLAY,2026-01-01,2026-12-31
U_FOXTROT,R_PAYMENT_EXEC,2026-01-01,2026-12-31
U_GOLF,R_VENDOR_BANK,2026-01-01,2026-12-31
U_GOLF,R_PAYMENT_EXEC,2026-01-01,2026-12-31
U_LOCKED,R_VENDOR_MAINT,2026-01-01,2026-12-31
U_LOCKED,R_PAYMENT_EXEC,2026-01-01,2026-12-31
