role,action,activity,org_unit,active
R_VENDOR_MAINT,VENDOR_MASTER_MAINTAIN,change,BR01,true
R_PAYMENT_EXEC,PAYMENT_EXECUTE,execute,BR01,true
R_PO_CREATE,PURCHASE_ORDER_CREATE,create,BR01,true
R_PO_RELEASE,PURCHASE_ORDER_RELEASE,release,BR01,true
R_VENDOR_BR01,VENDOR_MASTER_MAINTAIN,change,BR01,true
R_PAY_BR02,PAYMENT_EXECUTE,execute,BR02,true
R_GL_POST,GL_JOURNAL_POST,post,BR01,true
R_GL_APPROVE,GL_JOURNAL_APPROVE,approve,BR01,true
R_CUSTOMER_MAINT,CUSTOMER_MASTER_MAINTAIN,change,BR01,true
R_RECEIPT_POST,RECEIPT_POST,post,BR01,true
R_VENDOR_DISPLAY,VENDOR_MASTER_MAINTAIN,display,BR01,true
R_VENDOR_BANK,VENDOR_BANK_MAINTAIN,change,BR01,true
